,bnf_code,special_count,non_special_count,special_names,non_special_names
867,0205010J0AABSBS,1,0,Hydralazine 35mg/5ml oral suspension,
868,0205010J0AABTBT,1,0,Hydralazine 10mg/5ml oral suspension,
869,0205020E0AAAFAF,1,0,Clonidine 100micrograms/24hours transdermal patches,
870,0205020E0AAAGAG,1,0,Clonidine 200micrograms/24hours transdermal patches,
871,0205020E0AAAHAH,1,0,Clonidine 300micrograms/24hours transdermal patches,
872,0205020G0AAACAC,1,0,Guanfacine 1mg tablets,
873,0205020G0AAADAD,1,0,Guanfacine 2mg tablets,
874,0205020H0AAAHAH,1,0,Methyldopa 500mg/5ml oral suspension,
875,0205020H0AAAIAI,1,0,Methyldopa 250mg/5ml oral suspension,
876,0205020H0AAAJAJ,2,0,"Methyldopa 50mg/5ml oral suspension, Methyldopa 50mg/5ml oral solution",
877,0205020H0AAAKAK,2,0,"Methyldopa 60mg/5ml oral suspension, Methyldopa 60mg/5ml oral solution",
878,0205020H0AAALAL,2,0,"Methyldopa 125mg/5ml oral suspension, Methyldopa 125mg/5ml oral solution",
879,0205040D0AAAFAF,1,0,Doxazosin 4mg capsules,
880,0205040D0AAAHAH,2,0,"Doxazosin 8mg/5ml oral suspension, Doxazosin 8mg/5ml oral solution",
881,0205040D0AAAIAI,2,0,"Doxazosin 2mg/5ml oral suspension, Doxazosin 2mg/5ml oral solution",
882,0205040D0AAAKAK,2,0,"Doxazosin 5mg/5ml oral suspension, Doxazosin 5mg/5ml oral solution",
883,0205040D0AAAPAP,2,0,"Doxazosin 3mg/5ml oral suspension, Doxazosin 3mg/5ml oral solution",
884,0205040D0AAASAS,2,0,"Doxazosin 6mg/5ml oral suspension, Doxazosin 6mg/5ml oral solution",
885,0205040D0AAATAT,2,0,"Doxazosin 2.5mg/5ml oral suspension, Doxazosin 2.5mg/5ml oral solution",
886,0205040D0AAAUAU,2,0,"Doxazosin 500micrograms/5ml oral suspension, Doxazosin 500micrograms/5ml oral solution",
887,0205040D0AAAVAV,2,0,"Doxazosin 80mg/5ml oral suspension, Doxazosin 80mg/5ml oral solution",
888,0205040D0AAAWAW,1,0,Doxazosin 16mg/5ml oral suspension,
889,0205040D0AAAXAX,1,0,Doxazosin 4mg/5ml oral solution,
890,0205040D0AAAYAY,1,0,Doxazosin 4mg/5ml oral suspension,
891,0205040D0AAAZAZ,1,0,Doxazosin 1mg/5ml oral solution,
892,0205040D0AABABA,1,0,Doxazosin 1mg/5ml oral suspension,
893,0205040M0AAAMAM,2,0,"Phenoxybenzamine 25mg/5ml oral solution, Phenoxybenzamine 25mg/5ml oral suspension",
894,0205040M0AAANAN,2,0,"Phenoxybenzamine 10mg/5ml oral suspension, Phenoxybenzamine 10mg/5ml oral solution",
895,0205040M0AAAPAP,2,0,"Phenoxybenzamine 5mg/5ml oral suspension, Phenoxybenzamine 5mg/5ml oral solution",
896,0205040P0AAAAAA,1,0,Phentolamine 10mg/1ml solution for injection ampoules,
897,0205040S0AAAIAI,2,0,"Prazosin 500micrograms/5ml oral suspension, Prazosin 500micrograms/5ml oral solution",
898,0205040S0AAAJAJ,2,0,"Prazosin 250micrograms/5ml oral suspension, Prazosin 250micrograms/5ml oral solution",
899,0205040S0AAAKAK,2,0,"Prazosin 1mg/5ml oral solution, Prazosin 1mg/5ml oral suspension",
900,0205040S0AAANAN,2,0,"Prazosin 2mg/5ml oral solution, Prazosin 2mg/5ml oral suspension",
901,0205051F0AAA2A2,1,0,Captopril 4mg capsules,
902,0205051F0AAAHAH,1,0,Captopril 3mg oral powder sachets,
903,0205051F0AAAIAI,1,0,Captopril 5mg tablets,
904,0205051F0AAAKAK,1,0,Captopril 2mg capsules,
905,0205051F0AABKBK,1,0,Captopril 1.5mg capsules,
906,0205051F0AABNBN,2,0,"Captopril 5mg/5ml oral solution, Captopril 5mg/5ml oral suspension",
907,0205051F0AABPBP,2,0,"Captopril 20mg/5ml oral solution, Captopril 20mg/5ml oral suspension",
908,0205051F0AABRBR,2,0,"Captopril 10mg/5ml oral solution, Captopril 10mg/5ml oral suspension",
909,0205051F0AABSBS,1,0,Captopril 5.4mg/5ml oral solution,
910,0205051F0AABTBT,2,0,"Captopril 12.5mg/5ml oral solution, Captopril 12.5mg/5ml oral suspension",
911,0205051F0AABVBV,2,0,"Captopril 1.25mg/5ml oral solution, Captopril 1.25mg/5ml oral suspension",
912,0205051F0AABWBW,2,0,"Captopril 25mg/5ml oral solution, Captopril 25mg/5ml oral suspension",
913,0205051F0AABXBX,2,0,"Captopril 6.25mg/5ml oral solution, Captopril 6.25mg/5ml oral suspension",
914,0205051F0AABYBY,2,0,"Captopril 2.5mg/5ml oral solution, Captopril 2.5mg/5ml oral suspension",
915,0205051F0AABZBZ,2,0,"Captopril 2mg/5ml oral solution, Captopril 2mg/5ml oral suspension",
916,0205051F0AACACA,2,0,"Captopril 50mg/5ml oral solution, Captopril 50mg/5ml oral suspension",
917,0205051F0AACCCC,1,0,Captopril 100micrograms/5ml oral solution,
918,0205051F0AACDCD,2,0,"Captopril 3mg/5ml oral solution, Captopril 3mg/5ml oral suspension",
919,0205051F0AACECE,2,0,"Captopril 7.5mg/5ml oral solution, Captopril 7.5mg/5ml oral suspension",
920,0205051F0AACFCF,2,0,"Captopril 500micrograms/5ml oral solution, Captopril 500micrograms/5ml oral suspension",
921,0205051F0AACGCG,2,0,"Captopril 15mg/5ml oral solution, Captopril 15mg/5ml oral suspension",
922,0205051F0AACHCH,2,0,"Captopril 4mg/5ml oral solution, Captopril 4mg/5ml oral suspension",
923,0205051F0AACICI,2,0,"Captopril 3.125mg/5ml oral solution, Captopril 3.125mg/5ml oral suspension",
924,0205051F0AACJCJ,2,0,"Captopril 1mg/5ml oral solution, Captopril 1mg/5ml oral suspension",
925,0205051F0AACKCK,1,0,Captopril 7mg/5ml oral solution,
926,0205051F0AACLCL,2,0,"Captopril 9mg/5ml oral solution, Captopril 9mg/5ml oral suspension",
927,0205051F0AACNCN,2,0,"Captopril 1.5mg/5ml oral solution, Captopril 1.5mg/5ml oral suspension",
928,0205051F0AACRCR,2,0,"Captopril 6mg/5ml oral solution, Captopril 6mg/5ml oral suspension",
929,0205051F0AACUCU,1,0,Captopril 3.5mg/5ml oral solution,
930,0205051F0AACXCX,1,0,Captopril 15.625mg/5ml oral solution,
931,0205051F0AACYCY,1,0,Captopril 30mg/5ml oral solution,
932,0205051F0AACZCZ,1,0,Captopril 18.5mg/5ml oral solution,
933,0205051F0AADADA,2,0,"Captopril 3.25mg/5ml oral solution, Captopril 3.25mg/5ml oral suspension",
934,0205051F0AADCDC,1,0,Captopril 100mg/5ml oral solution,
935,0205051F0AADDDD,1,0,Captopril 1.6mg/5ml oral solution,
936,0205051F0AADEDE,2,0,"Captopril 8mg/5ml oral solution, Captopril 8mg/5ml oral suspension",
937,0205051F0AADFDF,1,0,Captopril 12mg/5ml oral solution,
938,0205051F0AADGDG,1,0,Captopril 1.75mg/5ml oral solution,
939,0205051F0AADJDJ,1,0,Captopril 17.5mg/5ml oral solution,
940,0205051F0AADLDL,2,0,"Captopril 31.25mg/5ml oral solution, Captopril 31.25mg/5ml oral suspension",
941,0205051F0AADMDM,1,0,Captopril 22.5mg/5ml oral solution,
942,0205051F0AADNDN,1,0,Captopril 62.5mg/5ml oral solution,
943,0205051F0AADPDP,2,0,"Captopril 17mg/5ml oral solution, Captopril 17mg/5ml oral suspension",
944,0205051F0AADQDQ,2,0,"Captopril 11.25mg/5ml oral solution, Captopril 11.25mg/5ml oral suspension",
945,0205051F0AADSDS,2,0,"Captopril 6.5mg/5ml oral solution, Captopril 6.5mg/5ml oral suspension",
946,0205051F0AADUDU,1,0,Captopril 50mg capsules,
947,0205051I0AAAJAJ,2,0,"Enalapril 2.5mg/5ml oral solution, Enalapril 2.5mg/5ml oral suspension",
948,0205051I0AAAPAP,2,0,"Enalapril 20mg/5ml oral solution, Enalapril 20mg/5ml oral suspension",
949,0205051I0AAARAR,2,0,"Enalapril 600micrograms/5ml oral suspension, Enalapril 600micrograms/5ml oral solution",
950,0205051I0AAASAS,2,0,"Enalapril 1mg/5ml oral suspension, Enalapril 1mg/5ml oral solution",
951,0205051I0AAATAT,2,0,"Enalapril 3.5mg/5ml oral suspension, Enalapril 3.5mg/5ml oral solution",
952,0205051I0AAAUAU,1,0,Enalapril 10mg/5ml oral solution,
953,0205051I0AAAVAV,2,0,"Enalapril 500micrograms/5ml oral suspension, Enalapril 500micrograms/5ml oral solution",
954,0205051I0AAAWAW,2,0,"Enalapril 2mg/5ml oral suspension, Enalapril 2mg/5ml oral solution",
955,0205051I0AAAXAX,2,0,"Enalapril 3.75mg/5ml oral suspension, Enalapril 3.75mg/5ml oral solution",
956,0205051I0AAAYAY,2,0,"Enalapril 3mg/5ml oral suspension, Enalapril 3mg/5ml oral solution",
957,0205051I0AAAZAZ,2,0,"Enalapril 4mg/5ml oral solution, Enalapril 4mg/5ml oral suspension",
958,0205051I0AABBBB,2,0,"Enalapril 25mg/5ml oral suspension, Enalapril 25mg/5ml oral solution",
959,0205051I0AABCBC,2,0,"Enalapril 7mg/5ml oral suspension, Enalapril 7mg/5ml oral solution",
960,0205051I0AABFBF,1,0,Enalapril 1.25mg/5ml oral solution,
961,0205051I0AABLBL,2,0,"Enalapril 12.5mg/5ml oral suspension, Enalapril 12.5mg/5ml oral solution",
962,0205051I0AABNBN,2,0,"Enalapril 15mg/5ml oral solution, Enalapril 15mg/5ml oral suspension",
963,0205051I0AABQBQ,2,0,"Enalapril 8mg/5ml oral suspension, Enalapril 8mg/5ml oral solution",
964,0205051I0AABSBS,2,0,"Enalapril 1.5mg/5ml oral suspension, Enalapril 1.5mg/5ml oral solution",
965,0205051I0AABTBT,2,0,"Enalapril 1.2mg/5ml oral suspension, Enalapril 1.2mg/5ml oral solution",
966,0205051I0AABVBV,2,0,"Enalapril 40mg/5ml oral suspension, Enalapril 40mg/5ml oral solution",
967,0205051I0AABWBW,2,0,"Enalapril 7.5mg/5ml oral suspension, Enalapril 7.5mg/5ml oral solution",
968,0205051I0AABYBY,1,0,Enalapril 5mg/5ml oral solution,
969,0205051I0AABZBZ,1,0,Enalapril 5mg/5ml oral suspension,
970,0205051I0AACACA,1,0,Enalapril 10mg/5ml oral suspension,
971,0205051I0AACBCB,1,0,Enalapril 1.25mg/5ml oral suspension,
972,0205051J0AAACAC,2,0,"Fosinopril 20mg/5ml oral suspension, Fosinopril 20mg/5ml oral solution",
973,0205051L0AAAGAG,2,0,"Lisinopril 5mg/5ml oral solution, Lisinopril 5mg/5ml oral suspension",
974,0205051L0AAAHAH,2,0,"Lisinopril 10mg/5ml oral solution, Lisinopril 10mg/5ml oral suspension",
975,0205051L0AAAIAI,2,0,"Lisinopril 2.5mg/5ml oral solution, Lisinopril 2.5mg/5ml oral suspension",
976,0205051L0AAAJAJ,2,0,"Lisinopril 30mg/5ml oral suspension, Lisinopril 30mg/5ml oral solution",
977,0205051L0AAAKAK,2,0,"Lisinopril 15mg/5ml oral suspension, Lisinopril 15mg/5ml oral solution",
978,0205051L0AAAMAM,2,0,"Lisinopril 500micrograms/5ml oral suspension, Lisinopril 500micrograms/5ml oral solution",
979,0205051L0AAANAN,2,0,"Lisinopril 7.5mg/5ml oral solution, Lisinopril 7.5mg/5ml oral suspension",
980,0205051L0AAARAR,1,0,Lisinopril 40mg/5ml oral suspension,
981,0205051L0AAASAS,2,0,"Lisinopril 37.5mg/5ml oral solution, Lisinopril 37.5mg/5ml oral suspension",
982,0205051L0AAATAT,2,0,"Lisinopril 14mg/5ml oral solution, Lisinopril 14mg/5ml oral suspension",
983,0205051L0AAAYAY,1,0,Lisinopril 20mg/5ml oral solution,
984,0205051L0AAAZAZ,1,0,Lisinopril 20mg/5ml oral suspension,
985,0205051M0AAACAC,2,0,"Perindopril erbumine 1mg/5ml oral suspension, Perindopril erbumine 1mg/5ml oral solution",
986,0205051M0AAADAD,1,0,Perindopril erbumine 2mg/5ml oral suspension,
987,0205051M0AAAHAH,2,0,"Perindopril erbumine 8mg/5ml oral solution, Perindopril erbumine 8mg/5ml oral suspension",
988,0205051M0AAAJAJ,1,0,Perindopril erbumine 2mg oral powder sachets,
989,0205051M0AAAKAK,1,0,Perindopril erbumine 4mg/5ml oral solution,
990,0205051M0AAALAL,1,0,Perindopril erbumine 4mg/5ml oral suspension,
991,0205051M0AAAMAM,1,0,Perindopril erbumine 3mg/5ml oral solution,
992,0205051R0AAAEAE,2,0,"Ramipril 5mg/5ml oral solution, Ramipril 5mg/5ml oral suspension",
993,0205051R0AAAFAF,2,0,"Ramipril 2.5mg/5ml oral solution, Ramipril 2.5mg/5ml oral suspension",
994,0205051R0AAAGAG,2,0,"Ramipril 1.25mg/5ml oral solution, Ramipril 1.25mg/5ml oral suspension",
995,0205051R0AAAHAH,1,0,Ramipril 10mg/5ml oral solution,
996,0205051R0AAAJAJ,2,0,"Ramipril 750micrograms/5ml oral suspension, Ramipril 750micrograms/5ml oral solution",
997,0205051R0AAAWAW,1,0,Ramipril 10mg/5ml oral suspension,
998,0205051U0AAAGAG,1,0,Trandolapril 2mg/5ml oral suspension,
999,0205052B0AAADAD,2,0,"Olmesartan medoxomil 10mg/5ml oral solution, Olmesartan medoxomil 10mg/5ml oral suspension",
1000,0205052C0AAAIAI,2,0,"Candesartan 4mg/5ml oral suspension, Candesartan 4mg/5ml oral solution",
1001,0205052C0AAAJAJ,2,0,"Candesartan 8mg/5ml oral suspension, Candesartan 8mg/5ml oral solution",
1002,0205052C0AAAKAK,1,0,Candesartan 16mg/5ml oral solution,
1003,0205052I0AAAFAF,1,0,Irbesartan 150mg/5ml oral suspension,
1004,0205052I0AAAGAG,1,0,Irbesartan 300mg/5ml oral suspension,
1005,0205052I0AAAIAI,1,0,Irbesartan 300mg oral powder sachets,
1006,0205052I0AAAJAJ,1,0,Irbesartan 20mg oral powder sachets,
1007,0205052I0AAAKAK,1,0,Irbesartan 30mg oral powder sachets,
1008,0205052I0AAALAL,1,0,Irbesartan 37.5mg oral powder sachets,
1009,0205052I0AAAMAM,1,0,Irbesartan 100mg/5ml oral suspension,
1010,0205052N0AAAEAE,1,0,Losartan 50mg/5ml oral solution,
1011,0205052N0AAAFAF,2,0,"Losartan 100mg/5ml oral solution, Losartan 100mg/5ml oral suspension",
1012,0205052N0AAAGAG,2,0,"Losartan 25mg/5ml oral suspension, Losartan 25mg/5ml oral solution",
1013,0205052N0AAAJAJ,1,0,Losartan 50mg/5ml oral suspension,
1014,0205052N0AAAKAK,1,0,Losartan 20mg/5ml oral suspension,
1015,0205052N0AAALAL,1,0,Losartan 12.5mg/5ml oral suspension,
1016,0205052Q0AAADAD,1,0,Telmisartan 40mg/5ml oral suspension,
1017,0205052V0AAAEAE,2,0,"Valsartan 40mg/5ml oral solution, Valsartan 40mg/5ml oral suspension",
1018,0205052V0AAAGAG,2,0,"Valsartan 160mg/5ml oral suspension, Valsartan 160mg/5ml oral solution",
1019,0205052W0AAADAD,2,0,"Eprosartan 300mg/5ml oral solution, Eprosartan 300mg/5ml oral suspension",
1020,0205080A0AAABAB,1,0,Ketanserin 20mg tablets,
1021,0206010I0AAAQAQ,2,0,"Isosorbide dinitrate 20mg/5ml oral solution, Isosorbide dinitrate 20mg/5ml oral suspension",
1022,0206010I0AAARAR,2,0,"Isosorbide dinitrate 10mg/5ml oral solution, Isosorbide dinitrate 10mg/5ml oral suspension",
1023,0206010I0AAASAS,2,0,"Isosorbide dinitrate 40mg/5ml oral suspension, Isosorbide dinitrate 40mg/5ml oral solution",
1024,0206010I0AAATAT,2,0,"Isosorbide dinitrate 5mg/5ml oral suspension, Isosorbide dinitrate 5mg/5ml oral solution",
1025,0206010I0AAAWAW,2,0,"Isosorbide dinitrate 30mg/5ml oral suspension, Isosorbide dinitrate 30mg/5ml oral solution",
1026,0206010K0AAALAL,1,0,Isosorbide mononitrate 20mg/5ml oral solution,
1027,0206010K0AAAMAM,1,0,Isosorbide mononitrate 40mg/5ml oral solution,
1028,0206010K0AAANAN,2,0,"Isosorbide mononitrate 10mg/5ml oral solution, Isosorbide mononitrate 10mg/5ml oral suspension",
1029,0206010K0AAARAR,2,0,"Isosorbide mononitrate 30mg/5ml oral solution, Isosorbide mononitrate 30mg/5ml oral suspension",
1030,0206010K0AAASAS,1,0,Isosorbide mononitrate 15mg/5ml oral solution,
1031,0206010K0AAAWAW,1,0,Isosorbide mononitrate 60mg/5ml oral solution,
1032,0206010K0AABBBB,1,0,Isosorbide mononitrate 20mg/5ml oral suspension,
1033,0206020A0AAACAC,2,0,"Amlodipine 5mg/5ml oral suspension, Amlodipine 5mg/5ml oral solution",
1034,0206020A0AAADAD,2,0,"Amlodipine 10mg/5ml oral suspension, Amlodipine 10mg/5ml oral solution",
1035,0206020A0AAAFAF,2,0,"Amlodipine 50mg/5ml oral suspension, Amlodipine 50mg/5ml oral solution",
1036,0206020A0AAAGAG,2,0,"Amlodipine 4mg/5ml oral suspension, Amlodipine 4mg/5ml oral solution",
1037,0206020A0AAAJAJ,1,0,Amlodipine 2.5mg/5ml oral suspension,
1038,0206020A0AAAMAM,2,0,"Amlodipine 1.5mg/5ml oral solution, Amlodipine 1.5mg/5ml oral suspension",
1039,0206020A0AAANAN,2,0,"Amlodipine 2mg/5ml oral suspension, Amlodipine 2mg/5ml oral solution",
1040,0206020B0AAAAAA,1,0,Trimetazidine 20mg tablets,
1041,0206020B0AAABAB,1,0,Trimetazidine 35mg modified-release tablets,
1042,0206020C0AAARAR,1,0,Diltiazem 60mg/5ml oral solution,
1043,0206020C0AAAZAZ,2,0,"Diltiazem 90mg/5ml oral solution, Diltiazem 90mg/5ml oral suspension",
1044,0206020C0AABBBB,1,0,Diltiazem 120mg/5ml oral solution,
1045,0206020C0AABCBC,1,0,Diltiazem 100mg/5ml oral solution,
1046,0206020C0AABEBE,1,0,Diltiazem 50mg/5ml oral solution,
1047,0206020C0AABFBF,1,0,Diltiazem 30mg/5ml oral solution,
1048,0206020C0AABGBG,1,0,Diltiazem 20mg/5ml oral solution,
1049,0206020C0AABHBH,1,0,Diltiazem 10mg/5ml oral solution,
1050,0206020C0AABIBI,1,0,Diltiazem 60mg/5ml oral suspension,
1051,0206020F0AAAGAG,1,0,Felodipine 2.5mg/5ml oral solution,
1052,0206020F0AAAHAH,1,0,Felodipine 5mg/5ml oral solution,
1053,0206020F0AAAIAI,1,0,Felodipine 2.5mg/5ml oral suspension,
1054,0206020K0AAADAD,1,0,Lacidipine 2mg/5ml oral suspension,
1055,0206020M0AAACAC,1,0,Nimodipine 30mg/5ml oral suspension,
1056,0206020Q0AAAFAF,2,0,"Nicardipine 20mg/5ml oral solution, Nicardipine 20mg/5ml oral suspension",
1057,0206020R0AAASAS,1,0,Nifedipine 20mg/ml oral drops,
1058,0206020R0AAAUAU,1,0,Nifedipine 100mg/5ml oral suspension,
1059,0206020R0AABCBC,1,0,Nifedipine 25mg/5ml oral suspension,
1060,0206020R0AABDBD,1,0,Nifedipine 30mg/5ml oral suspension,
1061,0206020R0AABGBG,1,0,Nifedipine 20mg/5ml oral suspension,
1062,0206020R0AABHBH,1,0,Nifedipine 1mg/5ml oral suspension,
1063,0206020R0AABJBJ,1,0,Nifedipine 4mg/5ml oral suspension,
1064,0206020R0AABKBK,1,0,Nifedipine 2.5mg/5ml oral suspension,
1065,0206020R0AABLBL,1,0,Nifedipine 2mg/5ml oral suspension,
1066,0206020R0AABMBM,1,0,Nifedipine 7.5mg/5ml oral suspension,
1067,0206020R0AABNBN,1,0,Nifedipine 2.2mg/5ml oral suspension,
1068,0206020R0AABPBP,1,0,Nifedipine 60mg/5ml oral suspension,
1069,0206020R0AABQBQ,1,0,Nifedipine 10mg/5ml oral suspension,
1070,0206020R0AABRBR,1,0,Nifedipine 5mg/5ml oral suspension,
1071,0206020T0AAA1A1,2,0,"Verapamil 80mg/5ml oral suspension, Verapamil 80mg/5ml oral solution",
1072,0206020T0AAA2A2,2,0,"Verapamil 20mg/5ml oral suspension, Verapamil 20mg/5ml oral solution",
1073,0206020T0AAA3A3,2,0,"Verapamil 10mg/5ml oral suspension, Verapamil 10mg/5ml oral solution",
1074,0206020T0AAAZAZ,2,0,"Verapamil 40mg/5ml oral suspension, Verapamil 40mg/5ml oral solution",
1075,0206020T0AABABA,2,0,"Verapamil 120mg/5ml oral suspension, Verapamil 120mg/5ml oral solution",
1076,0206020T0AABDBD,2,0,"Verapamil 45mg/5ml oral suspension, Verapamil 45mg/5ml oral solution",
1077,0206020T0AABEBE,2,0,"Verapamil 30mg/5ml oral suspension, Verapamil 30mg/5ml oral solution",
1078,0206020T0AABFBF,2,0,"Verapamil 250mg/5ml oral suspension, Verapamil 250mg/5ml oral solution",
1079,0206020T0AABGBG,2,0,"Verapamil 50mg/5ml oral suspension, Verapamil 50mg/5ml oral solution",
1080,0206020T0AABHBH,2,0,"Verapamil 240mg/5ml oral suspension, Verapamil 240mg/5ml oral solution",
1081,0206020W0AAAAAA,1,0,Nisoldipine 10mg modified-release tablets,
1082,0206020W0AAABAB,1,0,Nisoldipine 20mg modified-release tablets,
1083,0206020W0AAACAC,1,0,Nisoldipine 30mg modified-release tablets,
1084,0206030N0AAAEAE,1,0,Nicorandil 10mg oral powder sachets,
1085,0206030N0AAAFAF,1,0,Nicorandil 20mg oral powder sachets,
1086,0206040AEAAAEAE,1,0,Naftidrofuryl 100mg/5ml oral solution,
1087,0206040AFAAAHAH,1,0,Inositol nicotinate 1g/5ml oral suspension,
1088,0206040AGAAAEAE,1,0,Pentoxifylline 200mg/5ml oral solution,
1089,0206040AGAAAFAF,1,0,Pentoxifylline 100mg/5ml oral solution,
1090,0206040AGAAAGAG,1,0,Pentoxifylline 100mg/5ml oral suspension,
1091,0206040ALAAABAB,1,0,Acetyl-L-carnitine 500mg tablets,
1092,0207010G0AAAAAA,1,0,Etilefrine 5mg tablets,
1093,0207020X0AAACAC,1,0,Phenylephrine 50mg capsules,
1094,0208010K0AABJBJ,1,0,Heparin sodium 100units/1ml solution for injection ampoules,
1095,020802000AAAAAA,1,0,Coumarin 100mg capsules,
1096,0208020V0AAAIAI,2,0,"Warfarin 5mg/5ml oral solution, Warfarin 5mg/5ml oral suspension",
1097,0208020V0AAAJAJ,2,0,"Warfarin 2mg/5ml oral solution, Warfarin 2mg/5ml oral suspension",
1098,0208020V0AAAKAK,1,0,Warfarin 25mg/5ml oral solution,
1099,0208020V0AAAMAM,2,0,"Warfarin 3mg/5ml oral solution, Warfarin 3mg/5ml oral suspension",
1100,0208020V0AAANAN,2,0,"Warfarin 1mg/5ml oral solution, Warfarin 1mg/5ml oral suspension",
1101,0208020V0AAAPAP,1,0,Warfarin 4.16mg/5ml oral solution,
1102,0208020V0AAARAR,1,0,Warfarin 1.5mg/5ml oral solution,
1103,0208020V0AAATAT,1,0,Warfarin 100micrograms/5ml oral solution,
1104,0208020V0AAAUAU,1,0,Warfarin 2.5mg/5ml oral solution,
1105,0208020V0AAAVAV,2,0,"Warfarin 10mg/5ml oral solution, Warfarin 10mg/5ml oral suspension",
1106,0208020V0AAAWAW,1,0,Warfarin 4mg/5ml oral solution,
1107,0208020V0AAAXAX,1,0,Warfarin 500micrograms/5ml oral solution,
1108,0208020V0AABABA,1,0,Warfarin 1mg capsules,
1109,0208020V0AABCBC,1,0,Warfarin 3mg capsules,
1110,0208020V0AABDBD,1,0,Warfarin 5mg capsules,
1111,0209000A0AAA4A4,2,0,"Aspirin 62.5mg/5ml oral suspension, Aspirin 62.5mg/5ml oral solution",
1112,0209000A0AAA5A5,2,0,"Aspirin 100mg/5ml oral suspension, Aspirin 100mg/5ml oral solution",
1113,0209000A0AAATAT,1,0,Aspirin 25mg capsules,
1114,0209000A0AABABA,2,0,"Aspirin 25mg/5ml oral suspension, Aspirin 25mg/5ml oral solution",
1115,0209000A0AABBBB,2,0,"Aspirin 40mg/5ml oral suspension, Aspirin 40mg/5ml oral solution",
1116,0209000A0AABEBE,2,0,"Aspirin 50mg/5ml oral solution, Aspirin 50mg/5ml oral suspension",
1117,0209000A0AABFBF,2,0,"Aspirin 30mg/5ml oral suspension, Aspirin 30mg/5ml oral solution",
1118,0209000A0AABGBG,2,0,"Aspirin 75mg/5ml oral suspension, Aspirin 75mg/5ml oral solution",
1119,0209000A0AABHBH,2,0,"Aspirin 15mg/5ml oral suspension, Aspirin 15mg/5ml oral solution",
1120,0209000A0AABIBI,2,0,"Aspirin 37.5mg/5ml oral suspension, Aspirin 37.5mg/5ml oral solution",
1121,0209000A0AABJBJ,2,0,"Aspirin 225mg/5ml oral solution, Aspirin 225mg/5ml oral suspension",
1122,0209000A0AACCCC,1,0,Aspirin 37.5mg oral powder sachets,
1123,0209000A0AACDCD,1,0,Aspirin 40mg oral powder sachets,
1124,0209000C0AAACAC,1,0,Clopidogrel 75mg oral powder sachets,
1125,0209000C0AAADAD,1,0,Clopidogrel 25mg/5ml oral suspension,
1126,0209000C0AAAFAF,1,0,Clopidogrel 11mg oral powder sachets,
1127,0209000C0AAAIAI,1,0,Clopidogrel 4mg oral powder sachets,
1128,0209000C0AAAJAJ,1,0,Clopidogrel 75mg/5ml oral solution,
1129,0209000C0AAAKAK,1,0,Clopidogrel 75mg/5ml oral suspension,
1130,0209000C0AAALAL,1,0,Clopidogrel 1mg/ml oral suspension,
1131,0209000C0AAAMAM,1,0,Clopidogrel 5mg oral powder sachets,
1132,0209000C0AAANAN,1,0,Clopidogrel 6mg oral powder sachets,
1133,0209000C0AAAPAP,1,0,Clopidogrel 3.5mg oral powder sachets,
1134,0209000C0AAAQAQ,1,0,Clopidogrel 6mg/ml oral suspension,
1135,0209000C0AAARAR,1,0,Clopidogrel 7mg/ml oral suspension,
1136,0209000C0AAASAS,1,0,Clopidogrel 5mg/5ml oral solution,
1137,0209000L0AAAHAH,2,0,"Dipyridamole 100mg/5ml oral solution, Dipyridamole 100mg/5ml oral suspension",
1138,0209000L0AAAIAI,2,0,"Dipyridamole 5mg/5ml oral suspension, Dipyridamole 5mg/5ml oral solution",
1139,0209000L0AAAJAJ,2,0,"Dipyridamole 10mg/5ml oral suspension, Dipyridamole 10mg/5ml oral solution",
1140,0209000L0AAALAL,1,0,Dipyridamole 50mg/5ml oral solution,
1141,0209000L0AAANAN,1,0,Dipyridamole 200mg/5ml oral solution,
1142,0209000L0AAAPAP,2,0,"Dipyridamole 250mg/5ml oral solution, Dipyridamole 250mg/5ml oral suspension",
1143,0209000L0AAAQAQ,2,0,"Dipyridamole 25mg/5ml oral solution, Dipyridamole 25mg/5ml oral suspension",
1144,0209000L0AAARAR,2,0,"Dipyridamole 15mg/5ml oral suspension, Dipyridamole 15mg/5ml oral solution",
1145,0209000L0AAASAS,2,0,"Dipyridamole 30mg/5ml oral suspension, Dipyridamole 30mg/5ml oral solution",
1146,0209000L0AAATAT,2,0,"Dipyridamole 20mg/5ml oral suspension, Dipyridamole 20mg/5ml oral solution",
1147,0209000L0AAAUAU,2,0,"Dipyridamole 12.5mg/5ml oral suspension, Dipyridamole 12.5mg/5ml oral solution",
1148,0209000L0AAAZAZ,1,0,Dipyridamole 200mg/5ml oral suspension,
1149,0209000U0AAABAB,1,0,Ticlopidine 250mg tablets,
1150,0211000D0AAAEAE,1,0,Etamsylate 500mg/5ml oral solution,
1151,0211000D0AAAFAF,1,0,Etamsylate 500mg tablets,
1152,0211000P0AAAIAI,1,0,Tranexamic acid 250mg/5ml oral solution,
1153,0211000P0AAAJAJ,1,0,Tranexamic acid 1g/5ml oral solution,
1154,0211000P0AAAKAK,1,0,Tranexamic acid 2.5g/5ml oral solution,
1155,0211000P0AAANAN,1,0,Tranexamic acid 400mg/5ml oral solution,
1156,0211000P0AAAQAQ,1,0,Tranexamic acid 100mg/5ml oral solution,
